,Variable,Importance
238,G32,0.002522517
177,G15_fdp_Target Sequence_base,0.0025063474
254,G36_SMILES_in_Target Sequence_perc,0.0024971578
12,G26_std_SMILES_dist,0.0024950122
221,G27_fd_Target Sequence_base,0.00248799
318,G24_fd_SMILES_base,0.0024848862
132,G8_Target Sequence_base,0.0024791365
239,G32_Target Sequence_in_SMILES_perc,0.002468161
265,G36_std_Target Sequence_dist,0.0024498834
150,G9_fd_SMILES_base,0.0024466764
263,G36_fd_Target Sequence_base,0.0024398207
223,G27_std_Target Sequence_dist,0.0024333936
41,G25_std_Target Sequence_dist,0.0024153928
335,G10_std_Target Sequence_dist,0.0024112626
277,G37_fd_Target Sequence_base,0.0024102817
26,G3_std_SMILES_dist,0.0024086398
267,G37_Target Sequence_in_SMILES_perc,0.0024046584
153,G9_std_Target Sequence_dist,0.0024036425
71,G2_Target Sequence_in_SMILES_perc,0.0024015622
209,G21_std_Target Sequence_dist,0.0023986737
261,G36_fdp_Target Sequence_base,0.002398641
39,G25_fd_Target Sequence_base,0.0023715417
236,G28_std_SMILES_dist,0.0023648571
281,G38_Target Sequence_in_SMILES_perc,0.002362657
189,G17_Target Sequence_base_perc,0.0023505315
53,G31_fd_Target Sequence_base,0.002338038
9,G26_fdp_Target Sequence_base,0.0023303167
55,G31_std_Target Sequence_dist,0.0023020906
37,G25_fdp_Target Sequence_base,0.002301927
208,G21_std_SMILES_dist,0.0022755372
307,G39_std_Target Sequence_dist,0.0022720108
320,G24_std_SMILES_dist,0.0022567823
210,G27,0.0022556956
276,G37_fd_SMILES_base,0.0022377172
125,G7_std_Target Sequence_dist,0.0022360822
139,G8_std_Target Sequence_dist,0.0022347334
219,G27_fdp_Target Sequence_base,0.0022338047
329,G10_Target Sequence_base_perc,0.0022304985
179,G15_fd_Target Sequence_base,0.002224423
321,G24_std_Target Sequence_dist,0.0022219962
207,G21_fd_Target Sequence_base,0.0022212698
181,G15_std_Target Sequence_dist,0.0022201622
2,G26_SMILES_in_Target Sequence_perc,0.0022149498
290,G38_fd_SMILES_base,0.0022131996
316,G24_fdp_SMILES_base,0.0021999087
13,G26_std_Target Sequence_dist,0.00218273
0,G26,0.002178787
250,G32_std_SMILES_dist,0.0021743025
322,G10,0.0021735155
124,G7_std_SMILES_dist,0.0021638304
165,G12_fd_Target Sequence_base,0.002163742
305,G39_fd_Target Sequence_base,0.002159111
73,G2_ARRO,0.0021587575
163,G12_fdp_Target Sequence_base,0.0021421823
264,G36_std_SMILES_dist,0.0021241878
319,G24_fd_Target Sequence_base,0.002121087
168,G15,0.0021070575
274,G37_fdp_SMILES_base,0.0021005103
255,G36_ARRO,0.0020820245
11,G26_fd_Target Sequence_base,0.002078206
108,G6_fd_SMILES_base,0.002068356
333,G10_fd_Target Sequence_base,0.0020500154
167,G12_std_Target Sequence_dist,0.0020449024
98,G6,0.0020393129
222,G27_std_SMILES_dist,0.002027396
122,G7_fd_SMILES_base,0.0020243437
97,G5_std_Target Sequence_dist,0.0020242329
304,G39_fd_SMILES_base,0.0020205344
234,G28_fd_SMILES_base,0.0020186391
15,G3_Target Sequence_in_SMILES_perc,0.0020178661
288,G38_fdp_SMILES_base,0.0020174142
95,G5_fd_Target Sequence_base,0.0020088158
51,G31_fdp_Target Sequence_base,0.002004913
306,G39_std_SMILES_dist,0.0020015566
3,G26_ARRO,0.0019981458
311,G24_ARRO,0.0019968236
294,G39,0.0019948573
198,G21_SMILES_in_Target Sequence_perc,0.0019938129
24,G3_fd_SMILES_base,0.0019924394
22,G3_fdp_SMILES_base,0.0019901255
224,G28,0.001989938
325,G10_ARRO,0.0019869695
252,G36,0.0019850736
227,G28_ARRO,0.0019828673
196,G21,0.0019807452
226,G28_SMILES_in_Target Sequence_perc,0.0019779962
120,G7_fdp_SMILES_base,0.00197748
283,G38_ARRO,0.0019754933
266,G37,0.0019742236
137,G8_fd_Target Sequence_base,0.0019718478
50,G31_fdp_SMILES_base,0.0019644888
148,G9_fdp_SMILES_base,0.0019531855
40,G25_std_SMILES_dist,0.0019476813
262,G36_fd_SMILES_base,0.0019423952
330,G10_fdp_SMILES_base,0.00193526
141,G9_Target Sequence_in_SMILES_perc,0.0019329261
8,G26_fdp_SMILES_base,0.0019318719
302,G39_fdp_SMILES_base,0.0019297296
275,G37_fdp_Target Sequence_base,0.0019202363
195,G17_std_Target Sequence_dist,0.0019102684
331,G10_fdp_Target Sequence_base,0.0019063439
70,G2,0.0019009619
101,G6_ARRO,0.0018994708
260,G36_fdp_SMILES_base,0.0018971865
164,G12_fd_SMILES_base,0.0018850893
280,G38,0.0018830085
213,G27_ARRO,0.0018704348
17,G3_ARRO,0.0018656547
123,G7_fd_Target Sequence_base,0.0018646313
42,G31,0.0018636092
121,G7_fdp_Target Sequence_base,0.0018596759
310,G24_SMILES_in_Target Sequence_perc,0.0018585948
193,G17_fd_Target Sequence_base,0.001856465
157,G12_ARRO,0.0018471726
211,G27_Target Sequence_in_SMILES_perc,0.0018397045
154,G12,0.0018225856
204,G21_fdp_SMILES_base,0.0018160676
194,G17_std_SMILES_dist,0.0018105544
44,G31_SMILES_in_Target Sequence_perc,0.0018034076
92,G5_fdp_SMILES_base,0.001796537
332,G10_fd_SMILES_base,0.0017935805
170,G15_SMILES_in_Target Sequence_perc,0.0017879483
162,G12_fdp_SMILES_base,0.0017842848
206,G21_fd_SMILES_base,0.001774563
171,G15_ARRO,0.0017743764
156,G12_SMILES_in_Target Sequence_perc,0.0017665402
166,G12_std_SMILES_dist,0.0017606604
212,G27_SMILES_in_Target Sequence_perc,0.0017569512
36,G25_fdp_SMILES_base,0.0017560767
28,G25,0.0017460717
297,G39_ARRO,0.0017409152
38,G25_fd_SMILES_base,0.0017383413
93,G5_fdp_Target Sequence_base,0.0017382087
112,G7,0.0017286914
218,G27_fdp_SMILES_base,0.0017277658
84,G5,0.001727215
191,G17_fdp_Target Sequence_base,0.0017244158
1,G26_Target Sequence_in_SMILES_perc,0.0017181485
253,G36_Target Sequence_in_SMILES_perc,0.0017159875
334,G10_std_SMILES_dist,0.001709417
52,G31_fd_SMILES_base,0.001703337
190,G17_fdp_SMILES_base,0.0017019924
178,G15_fd_SMILES_base,0.0016882804
113,G7_Target Sequence_in_SMILES_perc,0.0016881176
81,G2_fd_Target Sequence_base,0.0016819352
30,G25_SMILES_in_Target Sequence_perc,0.0016803389
183,G17_Target Sequence_in_SMILES_perc,0.0016464639
176,G15_fdp_SMILES_base,0.0016442745
199,G21_ARRO,0.0016423062
45,G31_ARRO,0.0016121798
180,G15_std_SMILES_dist,0.0016056313
169,G15_Target Sequence_in_SMILES_perc,0.0016030595
323,G10_Target Sequence_in_SMILES_perc,0.001579735
115,G7_ARRO,0.0015780203
54,G31_std_SMILES_dist,0.0015755567
86,G5_SMILES_in_Target Sequence_perc,0.0015719694
309,G24_Target Sequence_in_SMILES_perc,0.0015634891
185,G17_ARRO,0.0015573647
225,G28_Target Sequence_in_SMILES_perc,0.0015499403
87,G5_ARRO,0.0015450035
99,G6_Target Sequence_in_SMILES_perc,0.0015437461
114,G7_SMILES_in_Target Sequence_perc,0.0015402829
129,G8_ARRO,0.0015375805
197,G21_Target Sequence_in_SMILES_perc,0.0015302126
134,G8_fdp_SMILES_base,0.0015262598
324,G10_SMILES_in_Target Sequence_perc,0.0015226671
96,G5_std_SMILES_dist,0.0015140712
128,G8_SMILES_in_Target Sequence_perc,0.0015044542
136,G8_fd_SMILES_base,0.0015034593
31,G25_ARRO,0.0015006121
43,G31_Target Sequence_in_SMILES_perc,0.0014966902
29,G25_Target Sequence_in_SMILES_perc,0.0014953507
57,G14_Target Sequence_in_SMILES_perc,0.0014926704
192,G17_fd_SMILES_base,0.0014694683
138,G8_std_SMILES_dist,0.0014683688
155,G12_Target Sequence_in_SMILES_perc,0.0014608308
295,G39_Target Sequence_in_SMILES_perc,0.0014523256
135,G8_fdp_Target Sequence_base,0.0014479785
94,G5_fd_SMILES_base,0.0013999639
184,G17_SMILES_in_Target Sequence_perc,0.0013309469
182,G17,0.0011976844
85,G5_Target Sequence_in_SMILES_perc,0.0011403618
126,G8,0.0010888535
127,G8_Target Sequence_in_SMILES_perc,0.0010870285
65,G14_fdp_Target Sequence_base,0.0
60,G14_SMILES_base,0.0
62,G14_Target Sequence_base,0.0
63,G14_Target Sequence_base_perc,0.0
64,G14_fdp_SMILES_base,0.0
61,G14_SMILES_base_perc,0.0
